اداره,وحده,من الاولي الي الرابعه,الخامسه والمنشطه,بي سي جي
القنايات,وحدة طب أسرة أم الزين,السبت، الأحد، الثلاثاء، الأربعاء,الأحد، الأربعاء,السبت
القنايات,وحدة طب أسرة أم رماد,السبت، الثلاثاء,السبت,الثلاثاء 1
القنايات,وحدة طب أسرة الطيبة,السبت، الثلاثاء,السبت,الثلاثاء 1، الثلاثاء 3
القنايات,وحدة طب أسرة تل مسمار,الثلاثاء 1، الثلاثاء 3,الثلاثاء 1، الثلاثاء 3,
القنايات,وحدة طب أسرة شيبة النكارية,السبت، الإثنين، الثلاثاء,الإثنين,الثلاثاء
القنايات,وحدة طب أسرة فرسيس,السبت، الثلاثاء,السبت,الثلاثاء 4
القنايات,وحدة طب بنى عباد,السبت، الثلاثاء,الثلاثاء,السبت 1، السبت 3
القنايات,وحدة ميت أبو عربى,السبت، الثلاثاء,الثلاثاء,السبت 5
بلبيس,أولاد سيف,السبت، الثلاثاء,السبت,الثلاثاء 4
بلبيس,أولاد مهنا,السبت، الثلاثاء,السبت,الثلاثاء 4
بلبيس,البلاشون,السبت، الإثنين، الأربعاء,الإثنين,السبت 5
بلبيس,الجوسق,السبت، الأربعاء,الأربعاء,السبت 2، السبت 4
بلبيس,الزوامل,السبت، الإثنين، الأربعاء,الإثنين,السبت 2، السبت 4
بلبيس,السلام,السبت، الإثنين، الثلاثاء، الأربعاء,الإثنين، الأربعاء,السبت 5
بلبيس,الشغابنه,السبت، الإثنين,الإثنين,
بلبيس,الشوليه,الثلاثاء 1، الثلاثاء 3,الثلاثاء 1، الثلاثاء 3,
بلبيس,العدليه,السبت، الإثنين,الإثنين,السبت 5
بلبيس,الكتيبه,السبت، الأربعاء,الأربعاء,السبت 5
بلبيس,الكفر القديم,السبت، الإثنين,الإثنين,
بلبيس,المبارك,الثلاثاء 2، الثلاثاء 4,الثلاثاء 2، الثلاثاء 4,الثلاثاء 4
بلبيس,المركز الطبى ببلبيس,السبت، الأحد، الإثنين، الثلاثاء، الأربعاء، الخميس,السبت، الأحد، الإثنين، الثلاثاء، الأربعاء، الخميس,السبت، الأحد، الإثنين، الثلاثاء، الأربعاء، الخميس
بلبيس,انشاص  الرمل,السبت، الأحد، الإثنين، الثلاثاء، الأربعاء,الإثنين، الأربعاء,السبت
بلبيس,بساتين الاسماعيليه,السبت، الإثنين، الأربعاء,الإثنين,السبت 2، السبت 5
بلبيس,بساتين بركات,السبت، الثلاثاء، الخميس,الثلاثاء,السبت 2، السبت 4
بلبيس,بنى  صالح,الثلاثاء 2، الثلاثاء 4,الثلاثاء 2، الثلاثاء 4,الثلاثاء 4
بلبيس,بير عماره,السبت، الإثنين,الإثنين,السبت 5
بلبيس,جلفينا,السبت، الإثنين,الإثنين,السبت 5
بلبيس,حفنا,السبت، الثلاثاء,الثلاثاء,السبت 5
بلبيس,حوض  الندى,السبت، الإثنين,الإثنين,السبت 5
بلبيس,سلمنت,السبت، الثلاثاء,السبت,الثلاثاء 2
بلبيس,سندنهور,السبت، الإثنين,الإثنين,السبت 5
بلبيس,شبرا النخله,السبت، الإثنين، الأربعاء,الإثنين,السبت 2، السبت 4
بلبيس,قرمله,السبت، الثلاثاء,السبت,الثلاثاء 4
بلبيس,كفر  ابراهيم,السبت، الأربعاء 1، الأربعاء 4,الأربعاء 1، الأربعاء 4,السبت 5
بلبيس,كفر اكياد,السبت، الأربعاء,الأربعاء,السبت 5
بلبيس,كفر ايوب سليمان,السبت، الثلاثاء,السبت,الثلاثاء 4
بلبيس,منيه سنتا,السبت، الإثنين,الإثنين,
بلبيس,ميت  حبيب,السبت، الثلاثاء,السبت,الثلاثاء 4
بلبيس,ميت جابر,السبت، الإثنين,الإثنين,السبت 2، السبت 4
بلبيس,ميت حمل,السبت، الإثنين,الإثنين,السبت 5
بلبيس,ميت معلا,السبت، الثلاثاء,السبت,الثلاثاء 4
بلبيس,نوبه والدهاشنه,الإثنين، الأربعاء,الإثنين,السبت 5
ديرب نجم,ابومتنا,الإثنين,الإثنين 3,
ديرب نجم,اكراش,الأحد,الأحد,الأحد 2
ديرب نجم,اكوه,السبت، الثلاثاء,الثلاثاء,الثلاثاء 1، الثلاثاء 3
ديرب نجم,الصانيه,الإثنين,الإثنين,الإثنين 3
ديرب نجم,الصوينى,الإثنين,الإثنين 2، الإثنين 4,
ديرب نجم,العصايد,الثلاثاء,الثلاثاء,
ديرب نجم,المجفف,الأحد,الأحد,الأحد 1، الأحد 4
ديرب نجم,الهوابر,الثلاثاء,الثلاثاء,
ديرب نجم,برمكيم,الثلاثاء,الثلاثاء 3,
ديرب نجم,بهنيا,الأحد، الأربعاء,الأحد,الأحد 2، الأحد 4
ديرب نجم,جميزه بنى عمرو,الأحد، الثلاثاء,الثلاثاء,الثلاثاء 3
ديرب نجم,حسن البنا,الأربعاء 4,الأربعاء 4,
ديرب نجم,دبيج,الأربعاء,الأربعاء 2، الأربعاء 3,
ديرب نجم,ديرب السوق,الإثنين، الأربعاء 4,الأربعاء,
ديرب نجم,ديرب نجم اول,السبت، الأحد، الإثنين، الثلاثاء، الأربعاء، الخميس,الأحد، الأربعاء,السبت، الثلاثاء
ديرب نجم,ديرب نجم ثان,الإثنين، الأربعاء,الأربعاء,
ديرب نجم,شبرا صوره,الإثنين,الإثنين 2، الإثنين 3,
ديرب نجم,شمباره منقلا,الثلاثاء,الثلاثاء,
ديرب نجم,شوبك اكراش,السبت 2، السبت 4,السبت 4,
ديرب نجم,صافور,الأحد، الثلاثاء، الخميس,الخميس,الثلاثاء
ديرب نجم,صفط زريق,الإثنين، الخميس,الإثنين,الإثنين 1، الإثنين 4
ديرب نجم,طحا المرج,الأحد، الأربعاء,الأربعاء,
ديرب نجم,عودة سالم,الثلاثاء 2، الثلاثاء 4,الثلاثاء 2,
ديرب نجم,فرغان,الأربعاء,الأربعاء,الأربعاء 4
ديرب نجم,قرموط صهبره,الإثنين,الإثنين 2، الإثنين 3,
ديرب نجم,كراديس,الإثنين,الإثنين,
ديرب نجم,كفر اللبا,الثلاثاء,الثلاثاء,
ديرب نجم,كفر جنيدى,الإثنين,,
ديرب نجم,مناحريت,الثلاثاء,الثلاثاء,
ديرب نجم,منشاه صهبره,الأحد، الأربعاء,الأحد، الأربعاء 4,
صان الحجر,الإتحاد,الأحد 2، الأحد 4,الأحد 4,
صان الحجر,البرادعيه,الإثنين 2، الإثنين 4,,
صان الحجر,البكارشة,الإثنين 2، الإثنين 4,الإثنين 2، الإثنين 4,
صان الحجر,الرجايله,الثلاثاء 2، الثلاثاء 4,الثلاثاء 2,
صان الحجر,الرست,الثلاثاء 2، الثلاثاء 4,الثلاثاء 2,
صان الحجر,القصبى شرق,الثلاثاء 2، الثلاثاء 4,الثلاثاء 2، الثلاثاء 4,
صان الحجر,القصبى غرب,الإثنين 2، الإثنين 4,الإثنين 4,
صان الحجر,الملاحة,الأربعاء 2، الأربعاء 4,الأربعاء 2، الأربعاء 4,
صان الحجر,الناصريية,الأحد,الأحد,الأحد 5
صان الحجر,النجيحى,الثلاثاء 1، الثلاثاء 3,الثلاثاء 1,
صان الحجر,تانيس,الأربعاء 1، الأربعاء 3,الأربعاء 1، الأربعاء 3,
صان الحجر,خمسة خفرع,الأحد 1، الأحد 3,الأحد 1,
صان الحجر,صان البحرية,الإثنين 2، الإثنين 4,الإثنين 2، الإثنين 4,
صان الحجر,صان القبلية,السبت، الثلاثاء، الخميس,الخميس,السبت، الثلاثاء
صان الحجر,عبد العزيز الإمام,الإثنين 2، الإثنين 4,الإثنين 2، الإثنين 4,
صان الحجر,مساعيد,الإثنين,الإثنين,الإثنين 4
صان الحجر,وكيل النيابه,الأربعاء 2، الأربعاء 4,الأربعاء 2، الأربعاء 4,
فاقوس,أبو عاصى,الأحد 2، الأحد 4,,
فاقوس,أشكر,الأحد,الأحد 2، الأحد 4,الأحد 3
فاقوس,إكياد البحرية,الأحد,الثلاثاء,الأحد 1، الأحد 3
فاقوس,إكياد القبلية,السبت، الخميس 1، الخميس 2,الخميس,السبت 2، السبت 5
فاقوس,اكفر الأشقم,الأربعاء 2، الأربعاء 4,الأربعاء 2، الأربعاء 4,
فاقوس,البيروم,الأحد,الأحد,
فاقوس,الخواطرة,الأربعاء 2,,
فاقوس,الدميين,السبت 2، السبت 4,السبت 4,
فاقوس,الديدامون,السبت، الأربعاء,الأربعاء,
فاقوس,الزاوية الحمراء,الإثنين 1، الإثنين 3,الإثنين 1، الإثنين 3,
فاقوس,السماعنة,السبت، الثلاثاء,الثلاثاء,السبت 2، السبت 4
فاقوس,السنيطة,الإثنين، الأربعاء,الأربعاء,الإثنين 1، الإثنين 3
فاقوس,العارين,الخميس 2، الخميس 4,الخميس 2,الخميس 4
فاقوس,الفدادنة,الإثنين,الإثنين 1، الإثنين 3,الإثنين 4
فاقوس,اللأخميين,الأحد 2، الأحد 4,الأحد 4,
فاقوس,النحاسين,الإثنين,الإثنين 1، الإثنين 3,
فاقوس,النمروط,الأحد، الأربعاء,الأربعاء,الأحد 1، الأحد 4
فاقوس,النوافعة,الإثنين، الخميس 4,الخميس,الإثنين 1، الإثنين 3
فاقوس,الودايعه,الأربعاء,الأربعاء 1، الأربعاء 3,
فاقوس,جزيرة النص,الثلاثاء,الثلاثاء 1، الثلاثاء 3,الثلاثاء 4
فاقوس,جهينة القبلية,الإثنين,الإثنين 1، الإثنين 3,
فاقوس,دوامة,السبت، الثلاثاء 2، الثلاثاء 4,الثلاثاء,السبت 1، السبت 3
فاقوس,عرب درويش,الثلاثاء، الأربعاء,الأربعاء,الثلاثاء
فاقوس,عزبة نعمان,الخميس 1، الخميس 3,الخميس 1، الخميس 3,
فاقوس,قنتير,الأحد، الخميس,الخميس,الأحد 5
فاقوس,كفر الحاج عمر,الأحد,الأحد 3، الأحد 5,الأحد 5
فاقوس,كفر العلماء,الثلاثاء 2، الثلاثاء 4,الثلاثاء 2، الثلاثاء 4,
فاقوس,كفر شاويش,السبت، الإثنين، الأربعاء,الأربعاء,السبت
فاقوس,كفر محمد إسماعيل,الأربعاء,الأربعاء 2، الأربعاء 4,
فاقوس,مركز طب أسرة الصوالح,الإثنين، الخميس,الخميس,الإثنين 2، الإثنين 4
فاقوس,مركز طب أسرة الغزالي,الأربعاء,الأربعاء 1، الأربعاء 3,الأربعاء 4
فاقوس,مركز طب أسرة بني صريد,الإثنين,الإثنين 1، الإثنين 3,الإثنين 4
فاقوس,مركز طبى فاقوس,السبت، الإثنين,الإثنين,السبت
فاقوس,مكتب صحة فاقوس أول,السبت، الأحد، الإثنين، الثلاثاء، الأربعاء، الخميس,الأحد، الإثنين، الأربعاء، الخميس,السبت، الثلاثاء
فاقوس,منشية القاضي,الإثنين,الإثنين 1، الإثنين 3,الإثنين 4
كفر صقر,ابن العاص,الإثنين,الإثنين 2، الإثنين 4,
كفر صقر,ابوالشقوق,الإثنين، الخميس 1,الإثنين 2، الإثنين 4,
كفر صقر,الجوينى,الأحد,الأحد 2، الأحد 4,
كفر صقر,الحوامده,الأحد,الأحد 2، الأحد 4,
كفر صقر,الرباعى,الأحد,الأحد 2,
كفر صقر,الشرقاويه,الأحد,الأحد 1، الأحد 3,الأحد 5
كفر صقر,الصوره,الأحد,الأحد 2، الأحد 4,
كفر صقر,القضاه,السبت، الأربعاء,الأربعاء,السبت 2، السبت 4
كفر صقر,المنشيه  الجديده,الأربعاء,الأربعاء 2، الأربعاء 4,
كفر صقر,الموانسه,الإثنين، الأربعاء,الأربعاء,الإثنين 2
كفر صقر,الهجارسة,الإثنين، الخميس 1,الإثنين 2، الإثنين 4,
كفر صقر,جزيره ابو عمران,الأحد,الأحد 2، الأحد 4,
كفر صقر,حانوت,الأربعاء,الأربعاء 2، الأربعاء 4,
كفر صقر,راتب حسين,السبت 2,,
كفر صقر,سمعان اول,الأربعاء,,
كفر صقر,سنجها,الأحد,الأحد 2، الأحد 4,
كفر صقر,شنيط الحرابوه,الأربعاء,الأربعاء 2، الأربعاء 4,
كفر صقر,شيط الهوى,الإثنين، الخميس 1,الإثنين 3، الخميس 1,الإثنين 4
كفر صقر,قراجه,السبت,السبت 2، السبت 4,السبت 3
كفر صقر,كفر حماد,الإثنين,الإثنين 2، الإثنين 4,
كفر صقر,كفر صقر,السبت، الأحد، الإثنين، الثلاثاء، الأربعاء، الخميس,الأحد، الأربعاء,السبت، الثلاثاء
كفر صقر,منشية عبد اللطيف,الأربعاء,الأربعاء 2، الأربعاء 4,
كفر صقر,موسى الطحاوى,الإثنين 2,,
كفر صقر,نايف عماد,الأربعاء,الأربعاء 2، الأربعاء 4,
كفر صقر,نجوم,الثلاثاء، الخميس 1,الثلاثاء 2، الثلاثاء 4,
مشتول السوق,إبراش,الأربعاء,الأربعاء 2، الأربعاء 4,
مشتول السوق,الخشه,الأحد 2، الأحد 4,الأحد 2، الأحد 4,
مشتول السوق,الصحافه,السبت، الثلاثاء,الثلاثاء,
مشتول السوق,المناصره,الثلاثاء,الثلاثاء 2، الثلاثاء 4,
مشتول السوق,المنير,الأحد، الثلاثاء,الثلاثاء,
مشتول السوق,دهمشا,السبت، الأربعاء,الأربعاء,
مشتول السوق,كفر إبراش,الإثنين، الأربعاء,الأربعاء,
مشتول السوق,مشتول السوق,السبت، الأحد، الإثنين، الثلاثاء، الأربعاء، الخميس,الأحد، الإثنين، الأربعاء,السبت، الثلاثاء، الخميس
مشتول السوق,نبتيت,الأحد,الأحد,
منشاة ابو عمر,ابو فرج,الخميس 1، الخميس 3,الخميس 3,
منشاة ابو عمر,الخضاروه,الإثنين,الإثنين 2، الإثنين 4,الإثنين 4
منشاة ابو عمر,الربعمائه,الأربعاء 2، الأربعاء 4,الأربعاء 4,
منشاة ابو عمر,السيسى,الثلاثاء 1، الثلاثاء 3,الثلاثاء 1، الثلاثاء 3,
منشاة ابو عمر,الظواهرية,الأربعاء,الأربعاء 2، الأربعاء 4,الأربعاء 4
منشاة ابو عمر,الفتح بالظواهرية,الثلاثاء 1، الثلاثاء 3,الثلاثاء 3,
منشاة ابو عمر,الفولى,الإثنين 2، الإثنين 4,الإثنين 2، الإثنين 4,الإثنين 4
منشاة ابو عمر,تل الدقيق,الإثنين 2، الإثنين 4,الإثنين 2,
منشاة ابو عمر,طارق بن زياد,الإثنين 2، الإثنين 4,الإثنين 2، الإثنين 4,الإثنين 4
منشاة ابو عمر,كفر المدينة,الأحد 2، الأحد 4,الأحد 2، الأحد 4,الأحد 2
منشاة ابو عمر,منشاة ابوعمر,الإثنين، الثلاثاء,الإثنين,الثلاثاء
منشاة ابو عمر,هانون,الإثنين 1، الإثنين 3,الإثنين 1، الإثنين 3,
منيا القمح,ابوطواله,الأحد,الأربعاء 2، الأربعاء 4,
منيا القمح,التلين,السبت، الأربعاء,الأربعاء,
منيا القمح,الجديده,الإثنين، الأربعاء,الأربعاء,
منيا القمح,الحميديه,الأربعاء 2، الأربعاء 4,الأربعاء 4,
منيا القمح,الربعمايه,الأربعاء 2، الأربعاء 4,الأربعاء 4,
منيا القمح,السعديين,السبت، الأربعاء,الأربعاء,السبت 5
منيا القمح,الصنافين القبليه,الإثنين، الأربعاء,الأربعاء,السبت 1، السبت 5
منيا القمح,العزيزيه,السبت 5، الأحد، الثلاثاء، الأربعاء,الأربعاء,الثلاثاء
منيا القمح,العقدة,الثلاثاء 1، الثلاثاء 3,الثلاثاء 1، الثلاثاء 3,
منيا القمح,القراقره,الثلاثاء,الثلاثاء 2، الثلاثاء 4,
منيا القمح,المحمديه,الثلاثاء,الثلاثاء 2، الثلاثاء 4,
منيا القمح,الميمونه,السبت، الثلاثاء 2، الثلاثاء 4,الثلاثاء 2، الثلاثاء 4,
منيا القمح,النعامنه,الأحد، الإثنين 2، الأربعاء,الأربعاء,
منيا القمح,الولجا,السبت 2، السبت 5، الأربعاء,السبت 2، السبت 5,
منيا القمح,بندف,الأحد، الأربعاء 2، الأربعاء 4,الأربعاء 2، الأربعاء 4,
منيا القمح,بنى قريش,السبت 2، السبت 5,السبت 5,
منيا القمح,بنى هلال,السبت 5، الإثنين، الأربعاء,الأربعاء,
منيا القمح,بيشه عامر,السبت، الثلاثاء,الثلاثاء,الإثنين 4
منيا القمح,تلبانه,الأحد، الثلاثاء,الثلاثاء,الأحد 4
منيا القمح,زهر شرب,السبت,السبت 2، السبت 4,
منيا القمح,سنهوا,الأحد، الأربعاء,الأربعاء,
منيا القمح,سنهوت البرك,السبت، الأربعاء,الأربعاء,السبت 5
منيا القمح,شبرا السلام,الثلاثاء,الثلاثاء 2، الثلاثاء 4,
منيا القمح,شبرا العنب,الأحد، الأربعاء,الأربعاء,
منيا القمح,شلشلمون,السبت، الإثنين، الأربعاء,الأربعاء,
منيا القمح,شيبه قش,الإثنين 2، الإثنين 4,الإثنين 4,
منيا القمح,قطيفه العزيزيه,الثلاثاء 2، الثلاثاء 4,الثلاثاء 4,
منيا القمح,قمرونه,الإثنين,الإثنين 2، الإثنين 4,
منيا القمح,كرديده,الثلاثاء 2، الثلاثاء 4,الثلاثاء 4,
منيا القمح,كفر ابوشحاته,الخميس 2,الخميس 4,
منيا القمح,كفر شلشلمون,السبت 2، السبت 5، الثلاثاء,السبت 2، السبت 5,
منيا القمح,كفر على غالى,السبت، الثلاثاء,الثلاثاء,السبت 5
منيا القمح,كوم حلين,السبت 2، الأربعاء,السبت 2، السبت 5,
منيا القمح,ملامس,السبت 5، الأحد، الثلاثاء,الثلاثاء,
منيا القمح,منيا القمح اول,السبت، الأحد، الإثنين، الثلاثاء، الأربعاء، الخميس، الجمعة 4,السبت، الأحد، الإثنين، الثلاثاء، الأربعاء، الخميس,السبت، الأحد، الإثنين، الثلاثاء، الأربعاء، الخميس
منيا القمح,ميت بشار,الأحد، الثلاثاء,الثلاثاء,
منيا القمح,ميت ربيعه,الإثنين,الإثنين 2، الإثنين 4,الإثنين 4
منيا القمح,ميت سهيل,السبت، الأربعاء,الأربعاء,السبت 5
منيا القمح,ميت يزيد,الإثنين، الأربعاء,الأربعاء,
ههيا,الزرزمون,السبت 2، السبت 3، الأحد,السبت 3، الأحد 2، الأحد 4,الأحد 3
ههيا,السلامون,الإثنين,الإثنين 2، الإثنين 4,الإثنين 3
ههيا,الشبراوين,الأحد,الأحد 2، الأحد 4,
ههيا,الظواهرى,الإثنين,الإثنين 2، الإثنين 4,
ههيا,العدوه,الثلاثاء,الثلاثاء 2، الثلاثاء 4,الثلاثاء 3
ههيا,العلاقمه,الأربعاء,الأربعاء,الأربعاء 3
ههيا,العواسجه,الإثنين,الإثنين 2، الإثنين 4,
ههيا,الفواقسة,الثلاثاء,الثلاثاء 2، الثلاثاء 4,الثلاثاء 3
ههيا,المحموديه,السبت,السبت 2، السبت 4,السبت
ههيا,حسين تيمور,الثلاثاء,الثلاثاء 2، الثلاثاء 4,
ههيا,حوض نجيح,الأربعاء,الأربعاء 2، الأربعاء 4,
ههيا,شرشيمه,الإثنين,الإثنين 2، الإثنين 4,
ههيا,كفر حموده,الإثنين,الإثنين 2، الإثنين 4,الإثنين 3
ههيا,كفر دبوس,السبت,السبت,
ههيا,كفرأبوحطب,الإثنين,الإثنين 2، الإثنين 4,
ههيا,منزل حيان,الثلاثاء,الثلاثاء,
ههيا,مهديه,الأربعاء,الأربعاء 2، الأربعاء 4,
ههيا,ههيا اول,السبت، الأحد، الإثنين، الثلاثاء، الأربعاء، الخميس,الأحد، الثلاثاء، الأربعاء، الخميس 3,السبت، الإثنين
